brand_id,brand_name,sub_brand_id,sub_brand_name
162,Too Yumm,,
689,NIVEA INDIA,,
5,HUL,307,KNORR
199,Paras Dairy,,
7,Reckitt Benckiser,190,Durex
202,MDH,,
638,Mohani,,
7,Reckitt Benckiser,164,Itch Guard
4,Godrej,269,Cinthol
205,Cargill,,
191,Johnsons & Johnsosn,211,J & J
226,Heinz,,
228,Gowardhan,,
426,KELLOGS INDIA,693,Kellogg's
241,Offer,,
695,Bhagwati,,
245,Regent Enterprises,,
696,ghadi,,
249,Pidilite,,
5,HUL,220,Kissan inactive
257,NeniMemi,,
498,Neem,694,Local brand
261,Parmal Rice,,
159,TATA,,
151,Mars International,255,Skittle
265,BAMBINO,,
267,Everin,,
698,Bulk Packs,,
196,Parivar Oil,,
698,Bulk Packs,701,Bulk Daliya
237,Bajaj Corp,273,Brahmi Amla
212,SC Johnson,214,ALLOUT
277,Ananda,,
285,Lijjat,,
281,Pansari Industries,279,Oreal
287,Babaji Oil,,
151,Mars International,259,Galaxy
1,Dabur,9,Dabur Amla
289,Kidys Ovenfresh,,
293,Chuk-de,,
659,Gramfactory,,
297,Premium,,
4,Godrej,243,HIT
291,Yellow Diamond,,
268,Test,301,test 1
299,Everest,,
303,KCO FOIL,,
237,Bajaj Corp,,
305,TOPS,,
5,HUL,181,Pears
309,MOHUNS,,
5,HUL,308,Brown & Polson
5,HUL,223,AXE
7,Reckitt Benckiser,167,Strepsils
6,Marico,253,Bio Oil
191,Johnsons & Johnsosn,193,Band-Aid
191,Johnsons & Johnsosn,304,Clean & Clear
212,SC Johnson,217,Kiwi
207,VINI Cosmetic,208,FOGG
225,Perfetti Van Melle,230,Alpenlibe
225,Perfetti Van Melle,232,Center Fresh
225,Perfetti Van Melle,234,Mentos
237,Bajaj Corp,275,Bajaj Cool Almond
454,Emami,295,Boroplus
39,ITC INDIA LTD,312,Engage
39,ITC INDIA LTD,310,Savlon
39,ITC INDIA LTD,311,Vivel
56,P&G,239,Wilklinson
39,ITC INDIA LTD,313,Mangaldeep
7,Reckitt Benckiser,187,Airwick
254,Himalaya,,
108,Adani Wilmar,,
639,Delmonte,,
1,Dabur,306,Dabur Honey
162,Too Yumm,179,Renuka Sugars
284,Bhavya,,
1,Dabur,209,Dabur Chyawanprash
7,Reckitt Benckiser,188,Brasso
7,Reckitt Benckiser,203,D'Cold
250,Catch,,
690,IQRA,,
252,PRIYA GOLD,,
168,MONDELEZ,300,Chocolairs
221,NOVA,,
159,TATA,160,TATA Salt
212,SC Johnson,,
111,Amul,224,Amul Kool
168,MONDELEZ,177,Bournvita Biscuits
225,Perfetti Van Melle,231,Center Fruit
85,Pepsico,194,Uncle Chips
50,Haldiram,51,Haldiram Snacks
5,HUL,197,Kissan
118,Uttam Sugar,,
200,Rasoi Bhog,,
114,Ruchi Soya Ltd,266,NUTRELA
168,MONDELEZ,174,OREO
39,ITC INDIA LTD,42,Yippee
268,Test,,
151,Mars International,256,Bounty Choc
276,CRAX,,
4,Godrej,242,Good knight
258,Double Chabi,,
260,Vamma 7 Rice,,
262,Delhi Pasand,,
264,Delhi Pasand,,
86,Cocacola,290,Minute Maid
270,BIKANO,,
278,Wagga Wagga,,
179,Renuka Sugars,120,Madhur Sugar
544,Marico Limited,,
281,Pansari Industries,280,Shasha
282,Value Clean,,
286,CREMICA,,
392,Local brand,227,Nycil
272,THE ORIGINAL,,
205,Cargill,206,Nature Fresh
294,Emami,,
296,Neha herbals,,
698,Bulk Packs,699,Bulk Poha
298,KALEVA,,
302,TYPHOO,,
245,Regent Enterprises,246,Moti
1,Dabur,10,Dabur Red
4,Godrej,14,Godrej Expert
4,Godrej,15,Godrej No. 1
7,Reckitt Benckiser,165,Krack
7,Reckitt Benckiser,229,Dermicool
85,Pepsico,248,STING
86,Cocacola,,
168,MONDELEZ,171,GEMS
168,MONDELEZ,240,TANG
237,Bajaj Corp,274,BAJAJ NOMARKS
212,SC Johnson,215,Baygon
225,Perfetti Van Melle,233,Happydent
168,MONDELEZ,,
237,Bajaj Corp,288,Bajaj Almond
108,Adani Wilmar,109,Fortune
454,Emami,238,Navratna
212,SC Johnson,218,Mr Muscle
1,Dabur,11,Meswak
43,PRINGLES,44,Cornflakes
43,PRINGLES,45,Chocos
640,Tilpat Wala,,
34,NESTLE,,
1,Dabur,,
39,ITC INDIA LTD,72,Engage
57,Colgate,,
39,ITC INDIA LTD,83,Vivel
6,Marico,28,Parachute
34,NESTLE,36,Everyday
50,Haldiram,,
1,Dabur,3,Dabur
1,Dabur,12,Odonil
343,JYOTI LABORATORIES L,283,Mr Excel
56,P&G,82,Vicks
56,P&G,,
4,Godrej,,
85,Pepsico,49,Quaker
85,Pepsico,48,Doritos
34,NESTLE,37,Cerelac
85,Pepsico,47,LAYS
39,ITC INDIA LTD,40,Sunfeast
114,Ruchi Soya Ltd,,
39,ITC INDIA LTD,41,Bingo
121,Mother Dairy,122,Dhara
2,Fena,,
696,ghadi,136,Ghadi_Cake
2,Fena,13,Nip
56,P&G,81,Tide
111,Amul,125,Amulspray
698,Bulk Packs,700,Bulk Flour
7,Reckitt Benckiser,80,Robin
1,Dabur,67,Lal Dant Manjan
4,Godrej,71,Godrej Ezee
4,Godrej,17,Good knight
123,Milk Food,,
6,Marico,84,Saffola Oats
56,P&G,78,Gillete
5,HUL,,
6,Marico,113,Saffola
5,HUL,60,Vim
1,Dabur,73,Dabur Almond
702,MTV,,
189,Britannia,697,Britannia Goodday
5,HUL,19,Fair & Lovely
5,HUL,21,Lux
5,HUL,26,Wheel
5,HUL,22,Ponds
5,HUL,23,Rin
5,HUL,24,Tresemme
5,HUL,25,Vaseline
54,Patanjali,,
55,ITC Limited,,
5,HUL,62,Surf Excel
6,Marico,58,Set Wet
5,HUL,63,Sunsilk
5,HUL,65,Pepsodent
5,HUL,76,Close Up
5,HUL,77,Clinic Plus
6,Marico,27,Nihar
56,P&G,59,Whisper
6,Marico,64,Revive
6,Marico,70,Hair & Care
7,Reckitt Benckiser,8,Harpic
7,Reckitt Benckiser,29,Cherry Blossom
7,Reckitt Benckiser,31,Lizol
7,Reckitt Benckiser,30,Dettol
34,NESTLE,38,Lactogen
7,Reckitt Benckiser,32,Moov
7,Reckitt Benckiser,33,Veet
7,Reckitt Benckiser,61,Vanish
7,Reckitt Benckiser,74,Colin
56,P&G,66,Pantene
56,P&G,69,Head & Shoulders
56,P&G,79,Pampers
4,Godrej,16,Godrej Nupur
6,Marico,,
7,Reckitt Benckiser,,
117,Madhusudan,,
7,Reckitt Benckiser,149,Durex
652,Gemini,,
661,Deepak,,
1,Dabur,148,Hajmola Tablets
85,Pepsico,158,Kurkure
5,HUL,101,Bru Coffee
319,UNIBIC,,
1,Dabur,99,Real Juice
85,Pepsico,98,Pepsi Black
180,PARLE PRODUCTS,,
651,Welga,,
86,Cocacola,91,Fanta
151,Mars International,,
121,Mother Dairy,,
191,Johnsons & Johnsosn,192,Stayfree
39,ITC INDIA LTD,112,Aashirvaad
86,Cocacola,92,Thums Up
159,TATA,161,TATA Sampann
189,Britannia,,
121,Mother Dairy,163,Mother Dairy Ghee
86,Cocacola,88,Limca
168,MONDELEZ,178,Dairy Milk Shots
5,HUL,100,Taaza Tea
108,Adani Wilmar,110,Raag Gold
108,Adani Wilmar,222,Kings
691,Streax,,
696,ghadi,137,Ghadi_ Powder
114,Ruchi Soya Ltd,116,Ruchi Gold
195,Mangat Ram Pulses,,
198,Rajdhani,,
6,Marico,144,Livon
7,Reckitt Benckiser,204,Disprin
85,Pepsico,157,7 UP Nimbooz
85,Pepsico,126,Himalayan
168,MONDELEZ,175,Fuse
698,Bulk Packs,703,Bulk Spices
207,VINI Cosmetic,,
210,Shree Nath Bhog,,
85,Pepsico,,
219,PAN,,
225,Perfetti Van Melle,,
671,BL Agro,201,Bail Kolhu
168,MONDELEZ,172,Five Star
151,Mars International,155,PimPom
2,Fena,133,Fena_Powder
151,Mars International,154,Orbit
151,Mars International,156,Boomer
5,HUL,105,Red Label
6,Marico,186,Mediker
7,Reckitt Benckiser,146,Min Cream
7,Reckitt Benckiser,147,Teepol
111,Amul,,
34,NESTLE,103,Munch
57,Colgate,641,Palmolive
34,NESTLE,104,Nescafe
151,Mars International,152,Doublemint
85,Pepsico,95,Mountain Dew
85,Pepsico,97,Pepsi
87,FERRERO,94,Tic Tac
87,FERRERO,93,KInder Joy
168,MONDELEZ,169,Perk
7,Reckitt Benckiser,166,Ring Gurad
212,SC Johnson,216,Glade
686,Unicharm,213,Mamy Poko Pants
34,NESTLE,102,Kit Kat
692,HUGGIES,,
317,APIS INDIA LIMITED,,
86,Cocacola,318,Schweppes
5,HUL,350,ENO
245,Regent Enterprises,321,Gio Canola Oil
322,MARIO,,
245,Regent Enterprises,323,TIL MOTI
5,HUL,324,TAJ MAHAL
325,AMITHS,,
326,TULSI,,
327,BAJAJ SUGAR,,
328,AGRO,,
329,DUBAR,,
330,ASOP,,
331,ROZANA,,
332,555,,
333,Unbrand Product,,
5,HUL,335,Comfort
336,Cycle,,
86,Cocacola,351,KINLEY
342,3M,,
343,JYOTI LABORATORIES L,,
343,JYOTI LABORATORIES L,344,UJALA
346,Bakkii Cookii,,
347,Tetley,,
698,Bulk Packs,366,Bulk Sugar
369,Lovely Gold,,
352,Lehar Club,,
354,BISLERI,,
355,KINGFISHER,,
356,Matcha,,
357,Hajmola,,
315,Banechetto,,
361,Shakti Bhog,,
225,Perfetti Van Melle,362,Fruittella
705,Goldiee,,
376,Chings,,
251,Non Branded Rice,,
378,FUNFOODS,,
380,RADHA TEA,,
659,Gramfactory,706,Gramfactory Spices
707,Abbott,,
383,Fresca,,
384,Macha,,
385,Majestic Tea,,
386,V-Nourish,,
387,Protinex,,
388,RedBull,,
389,Enerzal,,
704,AGRO TECH,,
368,Daawat,,
5,HUL,371,Hamam
5,HUL,337,Domex
7,Reckitt Benckiser,314,Mortein
5,HUL,372,INDULEKHA
5,HUL,373,LAKME
5,HUL,374,LIRIL
5,HUL,375,REXONA
56,P&G,316,Ariel
85,Pepsico,381,Aquafina
370,Punjab Gold,,
191,Johnsons & Johnsosn,367,Listerine
205,Cargill,359,RATH
225,Perfetti Van Melle,364,Chocoliebe
225,Perfetti Van Melle,348,Chupa Chups
225,Perfetti Van Melle,363,SMINT
353,DS PULSE,,
342,3M,345,Scotch Brite
392,Local brand,338,Hari darshan
392,Local brand,340,Nippo
4,Godrej,334,Godrej Aer
39,ITC INDIA LTD,339,Home light
56,P&G,365,ORAL-B
1,Dabur,341,Sanifresh
390,Today Tea,,
391,Saburi Tea,,
448,HERSHEY INDIA,,
689,NIVEA INDIA,461,Nivea
394,Funfeast,,
395,Fun Treat,,
431,MTR,,
447,Veeba,,
343,JYOTI LABORATORIES L,501,Exo
399,MORTON,,
401,Woodwards,,
400,Devaaya,,
403,Yakult,,
404,Anmol,,
405,Bajrang,,
406,Bikaner,,
407,Chintu choco,,
408,Dazzy Choco,,
662,KALEVA,,
409,Divya Churan,,
410,Hempushpa,,
411,Hunger choco,,
412,Kabir Foods,,
159,TATA,402,Fruski Tea
414,Sat-Isabgol,,
415,Shadani Candy,,
417,Kayam Churn,,
418,Agroppure,,
419,Ajanta,,
420,Aroma Agmark Ghee,,
421,Eastern,,
422,Chuk De,,
423,Figaro,,
424,Gm Foods,,
425,Kangaroo,,
704,AGRO TECH,427,Sundrop
708,Soulfull,,
428,Dalda,,
429,Mawana,,
430,PRS,,
432,RASOI KING,,
433,Del Monte,,
435,Fric Bergen,,
436,Fun Top,,
437,GROFERS,,
438,MEDIPLAST,,
439,Nilons,,
