product_gf_code,product_name,product_sku,Available,Damaged,Expired,MRP
85966,Maggi Special Masala Noodles - Pack of 6,BSCBSCMAG00000002,0,0,0,65.00
GF00001,"Coke, 2Ltr ",BEVBEVCOC00000006,0,0,0,85.00
GF00001_1,"Coke, 2 Ltr",CBDBNCCOC00000003,0,4,0,90.00
GF00002,"Coke, 600 ml",BEVBEVCOC00000007,0,0,0,35.00
GF00003,"Coke, 1.25 Ltr",BEVBEVCOC00000009,0,0,0,60.00
GF00003_1,"Coke, 1.25 Ltr",CBDBNCCOC00000002,0,1,0,65.00
GF00004,"Fanta, 2Ltr",BEVBEVFAN00000006,0,0,0,85.00
GF00004_1,"Fanta, 2 Ltr",CBDBNCFAN00000002,0,0,0,90.00
GF00005,"Fanta, 600 ml ",BEVBEVFAN00000007,0,0,0,35.00
GF00006,"Fanta, 1.25 Ltr  ",BEVBEVFAN00000009,0,0,0,60.00
GF00006_1,"Fanta, 1.25 Ltr",CBDBNCFAN00000001,0,0,0,65.00
GF00007,"Limca, 600 ml ",BEVBEVLIM00000008,0,0,0,35.00
GF00007_1,"Limca, 600 ml ",BEVBEVLIM00000007,0,0,0,
GF00008,"Limca, 2Ltr",BEVBEVLIM00000006,0,0,0,85.00
GF00008_1,"Limca, 2 Ltr",CBDBNCLIM00000002,6,0,0,90.00
GF00008_2,"Limca, 2 Ltr (Single qty) MRP 90",CBDBNCLIM00000003,0,0,0,90.00
GF00009,"Limca, 1.25 Ltr ",BEVBEVLIM00000010,0,0,0,60.00
GF00009_1,"Limca, 1.25 Ltr",CBDBNCLIM00000001,229,8,0,65.00
GF00011,"Maaza, 600 ml ",BEVBEVMAZ00000001,0,0,0,35.00
GF00011_2,Maaza Mango Drink Pet Bottle 600 ml,JMTBNCMAZ00000003,0,0,0,38.00
GF00012,"Sprite, 2Ltr ",BEVBEVSPR00000006,0,0,0,85.00
GF00012_1,"Sprite, 2 Ltr",CBDBNCSPR00000002,0,0,0,90.00
GF00013,"Sprite, 600 ml",BEVBEVSPR00000008,0,0,0,35.00
GF00013_1,"Sprite, 600 ml ",BEVBEVSPR00000007,0,0,0,
GF00014,"Sprite, 1.25 Ltr ",BEVBEVSPR00000010,0,0,0,60.00
GF00014_1,"Sprite, 1.25 Ltr",CBDBNCSPR00000001,109,0,0,65.00
GF00014_2,"Sprite, 1.25 ltr (Single qty) MRP 65",CBDBNCSPR00000003,0,0,0,65.00
GF00015,"Thums Up, 2Ltr ",BEVBEVTHU00000006,0,0,0,85.00
GF00015_1,"Thums Up, 2 Ltr",CBDBNCTHU00000001,2,1,0,90.00
GF00015_2,"Thums Up, 2 Ltr (Single qty) MRP 90",CBDBNCTHU00000004,0,0,0,90.00
GF00016,"Thums Up, 600 ml ",BEVBEVTHU00000008,0,0,0,35.00
GF00016_1,"Thums Up, 600 ml ",BEVBEVTHU00000007,0,0,0,
GF00017,"Thums Up, 1.25 Ltr ",BEVBEVTHU00000010,0,0,0,60.00
GF00017_1,"Thums Up, 1.25 Ltr",CBDBNCCOC00000001,38,0,0,65.00
GF00017_2,"Thums Up, 1.25 Ltr (Single qty) MRP 65",CBDBNCTHU00000003,0,0,0,65.00
GF00053,"Godrej Expert Hair Colour Natural Black 1, Multi Pack",PCRPCRGEX00000004,2,0,0,99.00
GF00054,"Godrej Expert Rich Creme Hair Colour Burgundy,(4.16)",PCRPCRGEX00000003,5,0,0,30.00
GF00055,Godrej Expert Rich Creme Hair Colour Dark Brown (4.06),PCRPCRGEX00000002,0,1,0,30.00
GF00055_1,Godrej Expert Rich Creme Hair Colour Dark Brown (4.06),HPCHPCGEX00000001,0,0,0,25.00
GF00056,Godrej Expert Rich Creme Hair Colour Natural Black (1.00),PCRPCRGEX00000001,0,0,0,30.00
GF00059,"Ezee Detergent Liquid, 250gm",HOKHOKEZE00000003,0,0,0,49.00
GF00060_1,"Ezee Detergent Liquid, 500gm",HOKHOKEZE00000002,0,0,0,90.00
GF00061,"Godrej No.1 Rosewater and Almonds Soap, 100g (Pack of 4)",PCRPCRGNO00000009,0,0,0,68.00
GF00061_1,"Godrej No.1 Rosewater and Almonds Soap, 100g (Pack of 4)",PCRPCRGNO00000015,0,0,0,64.00
GF00061_3,"Godrej No.1 Rosewater and Almonds Soap, 100g Buy 4 Get 1 Free",BTSBDCGNO00000005,0,0,0,68.00
GF00061_4,"Godrej No.1 Rosewater and Almonds Soap, 100g (Buy 4 Get 1 Free)",BTSBDCGNO00000013,0,0,0,72.00
GF00062,"Godrej No.1 Sandal & Turmeric Soap, 100gm (Pack of 4)",PCRPCRGOD00000001,0,0,0,68.00
