Shop_name,warehouse_id,Barcode,item_id,product_sku,product_name,category,hsn,Tax_structure,GST_flag,MRP,PTC,Realtime_available_qty,Last90daysaleqty
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8906017290040,hd-20191226-1902-12038-093-00000-000,LQDBVRBIS00000001,Bisleri Packaged  Water 1 ltr 8906017290040,beverage_and_confectionary,2201,In State GST 18 %,GST-18,20,20,3,9
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901192000101_22,hd-20191226-1902-15881-093-00000-000,GRSGRSCAT00000023,"Catch Sprinklers Table Salt, 100 Gm 8901192000101_22",staple_and_grocery,25010010,In State GST 0 %,GST-0,22,19.8,6,3
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,89005583,hd-20191226-1902-26260-093-00000-000,BDCHPCDBR00000003,Dabur Galabari Rose Water 59 ml 89005583,health_and_personal_care,33049910,In State GST 18 %,GST-18,28,28,4,4
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901207026270,hd-20191226-1902-27398-093-00000-000,HCOPREDBR00000008,Dabur Vatika Healrh Shampoo 180 ml 8901207026270,health_and_personal_care,33051090,In State GST 18 %,GST-18,75,73,5,
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901030721878,hd-20191226-1902-57334-093-00000-000,PCRPCRLIF00000005,Lifebuouy Soap 62 gm ( Pack Of 4) 8901030721878,health_and_personal_care,34011190,In State GST 18 %,GST-18,40,38,5,7
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901764032271,hd-20191226-1903-22037-093-00000-000,BEVBEVSPR00000011,Sprite Pet Bottle 750 ml 8901764032271,beverage_and_confectionary,22021010,In State GST 28 % + Cess 12%,GST-40,40,40,1,6
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901331003871,hd-20200102-0703-27627-093-00000-000,HOKHOKGPO00000001,Ghadi Detergent Powder 1 kg 8901331003871,home_and_kitchen,34029011,In State GST 18 %,GST-18,55,53,1,28
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901652141801,hd-20200104-0756-02574-093-00000-000,BICSNKPRI00000011,Priyagold Snack Zig-Zag Salty 500 gm 8901652141801,processed_food,1905,In State GST 18 %,GST-18,60,45,4,4
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901725121129_193,hd-20200106-1217-48188-093-00000-000,ALFSNGAAS00000003,Aashirvaad Sudh Chakki Atta 5 kg 8901725121129_193,staple_and_grocery,11010000,In State GST 5 %,GST-5,193,169,1,28
"PepperTap (Gram Mart, Chipyana)",hd-20200723-1347-42117-093-33KFL-000,8901725121129_193,hd-20200106-1217-48188-093-00000-000,ALFSNGAAS00000003,Aashirvaad Sudh Chakki Atta 5 kg 8901725121129_193,staple_and_grocery,11010000,In State GST 5 %,GST-5,193,169,1,8
