invoice_no,order_no,product_sku,product_name,picked_pieces,picked_pieces_pickup
123,AOR2009030012070,OGCSNGGEM00000001,"Gemini Refined Soyabean Oil Pouch, 1ltr",120,120,READY_TO_DISPATCH
123,AOR2009030012070,OGCSNGFOR00000019,"Fortune Refined Soya Bean Oil Pouch, 1 Ltr",320,320,READY_TO_DISPATCH
123,AOR2009030012070,GRSGRSSOI00000012,"Saffola Gold Pouch, 1 Ltr",24,24,READY_TO_DISPATCH
123,POR2006080000175,BNCBNCTOY00000009,Test WMS live,0,0,READY_TO_SHIP
123,POR2006080000175,BNCBNCTOY00000008,TestProduct_2809,18,18,READY_TO_SHIP
123,AOR2009030014519,CNDCNDGPO00000001,Ghadi Detergent Powder 3 kg,0,0,READY_TO_DISPATCH
123,AOR2009030014519,TEABEVTTE00000006,Tata Tea Premium 500Gm,6,6,READY_TO_DISPATCH
123,AOR2009030014519,TEABEVTTE00000005,Tata Tea Premium 1Kg,3,3,READY_TO_DISPATCH
123,AOR2009030014519,OGCSNGPAS00000004,"Paras Ghee Tetra, 1 Ltr",15,15,READY_TO_DISPATCH
123,AOR2009030014519,SCSSNGCAT00000066,"Catch Turmeric Powder Pouch, 200 gms",25,25,READY_TO_DISPATCH
123,AOR2009030014519,HOKHOKFPW00000004,"FENA DETERGENT POWDER, 500 GM FREE SOAP RS-5",50,50,READY_TO_DISPATCH
123,AOR2009030014519,OGCSNGAMU00000004,"Amul Ghee Tetra, 500 ml",4,4,READY_TO_DISPATCH
123,AOR2009030014519,SCSSNGCAT00000069,"Catch Red Chilli Powder, 100 gm",20,20,READY_TO_DISPATCH
123,AOR2009030014519,SCSSNGCAT00000065,"Catch Red Chili Powder Pouch, 200GM",15,15,READY_TO_DISPATCH
123,AOR2009030014519,SCSSNGCAT00000008,"Catch Hing, 25 gm",10,10,READY_TO_DISPATCH
123,AOR2009030014519,SCSSNGCAT00000083,"Catch Hing, 50 gm",10,10,READY_TO_DISPATCH
123,AOR2009030014519,SCSSNGCAT00000085,Catch Red Chilli Powder 500 G Pouch,2,2,READY_TO_DISPATCH
123,AOR2009030014655,OGCSNGMAH00000005,"Mahakosh Soyabean Pouch, 1 Ltr",24,24,READY_TO_DISPATCH
123,AOR2009030014655,PCRPCRCOL00000012,Colgate  Kids 0-2 SINGLE  Toothbrush,6,6,READY_TO_DISPATCH
123,AOR2009030014392,TEABEVTTE00000005,Tata Tea Premium 1Kg,12,12,READY_TO_DISPATCH
123,AOR2009030014392,TEABEVTTE00000006,Tata Tea Premium 500Gm,6,6,READY_TO_DISPATCH
123,AOR2009030014320,FGNSPLNUT00000003,"Nutrela Soya Chunks, 200 gm (Box)",6,6,READY_TO_DISPATCH
123,AOR2009030014320,PLBSNGLDA00000022,"Moong Dhuli Kori,30 kg",1,1,READY_TO_DISPATCH
123,AOR2009030014320,PLBSNGNUT00000005,"Nutrela Soya Mini Chunks, 200 gm + 20 gm Extra (Box)",6,6,READY_TO_DISPATCH
123,AOR2009030014735,OGCSNGAMU00000006,"Amul Ghee Tetra, 1 Ltr",6,6,READY_TO_DISPATCH
123,AOR2009030008121,OGCSNGMAD00000026,"Madhusudan Desi Ghee Jar, 1 Ltr",9,9,READY_TO_DISPATCH
123,AOR2009030008121,PLBSNGLDA00000023,"Moong Chilka, 30 kg",1,1,READY_TO_DISPATCH
123,AOR2009030008121,PLBSNGLDA00000030,"Masoor Sabut, 30 Kg",1,1,READY_TO_DISPATCH
123,AOR2009030008121,PLBSNGLDA00000028,"Malka Masoor Kori, 30 Kg",1,1,READY_TO_DISPATCH
123,AOR2009030013496,PCRPCRVAS00000002,"VASELINE DEEP STORE LOTION, 20ML",0,0,READY_TO_DISPATCH
123,AOR2009030013496,BACSBFPAR00000002,Parle 20 20 Cashew Cookies 70 gm,0,0,READY_TO_DISPATCH
123,AOR2009030013496,CNPPROYLD00000035,"YD Potato Chips Cream-n-Onion, 31 gm",10,10,READY_TO_DISPATCH
123,AOR2009030013496,BDCHPCGNO00000003,"Godrej No.1 Saffron and Milk Cream Soap, 100g (Buy 4 Get 1 Free)",1,1,READY_TO_DISPATCH
123,AOR2009030013496,CNPPROYLD00000011,"YD Potato Chips Spicy Treat, 13 gm + 2.6 gm extra",14,14,READY_TO_DISPATCH
123,AOR2009030013496,BDCHPCBOR00000002,Boroplus Ointment 6 Ml pouch,15,15,READY_TO_DISPATCH
123,AOR2009030013496,PCRPCRHNC00000003,"Hair & Care Fruit Oils Green, 50 ml",3,3,READY_TO_DISPATCH
123,AOR2009030013496,CNPPROYLD00000010,"YD Potato Chips Magic Masala, 15 gm",1,1,READY_TO_DISPATCH
123,AOR2009030013496,THPDCRCOL00000015,"Colgate Strong Teeth,18 gm",12,12,READY_TO_DISPATCH
123,AOR2009030013496,CNNSBFLAY00000010,Lays  Potato Chips - Spanish Tomato Tango - 55 gm  Pack,0,0,READY_TO_DISPATCH
123,AOR2009030013496,BDCHPCHIM00000002,"Himalaya Lip Balm, 10 gm",2,2,READY_TO_DISPATCH
123,AOR2009030013496,BTSBDCLUX00000030,"Lux Jasmine Bloom Soap, 100 gm",6,6,READY_TO_DISPATCH
123,AOR2009030013496,THBDCRCOL00000034,Colgate Super Flexi SOFT SINGLE Toothbrush (12 Super Flexi + 1 Charcoal Free),12,12,READY_TO_DISPATCH
123,AOR2009030013496,GRSGRSUTS00000001,"Uttam Sulphurless Sugar, 5Kg",2,2,READY_TO_DISPATCH
123,AOR2009030013496,BTSBDCVIV00000001,Vivel Aloe Vera 63gm,10,10,READY_TO_DISPATCH
123,AOR2009030013496,BACSBFPRI00000013,Priyagold Snacks Zig Zag Biscuit 75gm,0,0,READY_TO_DISPATCH
123,AOR2009030013496,NKMSNKCRX00000025,CRAX NAV RATTAN (Mrp 5),24,24,READY_TO_DISPATCH
123,AOR2009030013496,SASPROMOR00000019,Morton Tomato Ketchup ( N.P ) 200 gm,2,2,READY_TO_DISPATCH
123,AOR2009030013496,PLBSNGLOC00000037,ECO CHANA DAL 1 KG,2,2,READY_TO_DISPATCH
123,AOR2009030014815,IFDPROAMU00000004,"Amulspray Infant Powder Tin, 500 Gm",9,9,READY_TO_DISPATCH
123,AOR2009030014815,IFDPROAMU00000003,"Amulspray Infant Powder Tin, 1 Kg",6,6,READY_TO_DISPATCH
123,AOR2009030014714,SCAWHGSTF00000008,Stayfree Secure Cottony Extra Lagre 6N,6,6,READY_TO_DISPATCH
123,AOR2009030014714,SCAWHGSTF00000006,"Stayfree secure cottony ,soft cover Regular , 7 S",6,6,READY_TO_DISPATCH
123,AOR2009030014714,BREBREEVD00000001,"EVERYDAY Dairy Whitner Powder, 20gm",12,12,READY_TO_DISPATCH
