Product ID,Product SKU ID,Match,Product Name,Product Status,MRP,MRP Status,MRP Approval Status,Remarks,MRP
7664,DGTHNKPRI00000003,DGTHNKPRI00000003,Pril Dishwash 225 ml Green,TRUE,NA,NA,NA,Product is Active but price not found,1
3891,HMIHNKUNB00000007,HMIHNKUNB00000007,Classic Match Box,TRUE,NA,NA,NA,Product is Active but price not found,1
17975,HNKHNKLOC00001963,HNKHNKLOC00001963,Plastic Glass Small,TRUE,NA,NA,NA,Product is Active but price not found,1
3972,HMIHNKUNB00000024,HMIHNKUNB00000024,Plastick Glass,TRUE,NA,NA,NA,Product is Active but price not found,1
5615,DGODGOHAJ00000003,DGODGOHAJ00000003,Hajmola,TRUE,NA,NA,NA,Product is Active but price not found,1
6009,HCOPREDAL00000002,HCOPREDAL00000002,Dabur Almond Hair Oil 3 ml,TRUE,NA,NA,NA,Product is Active but price not found,1
6032,HCOPREDBR00000010,HCOPREDBR00000010,Dabur Vatika Shampoo 6 gm,TRUE,NA,NA,NA,Product is Active but price not found,1
6666,BDCHPCNAV00000003,BDCHPCNAV00000003,Navrattan Extra Cool Satchet,TRUE,NA,NA,NA,Product is Active but price not found,1
6761,HARHPCPAT00000001,HARHPCPAT00000001,Patanjali Alovera Shampoo 5 ml,TRUE,NA,NA,NA,Product is Active but price not found,1
7959,CTLBNCMIK00000001,CTLBNCMIK00000001,Milkybar Eclairs 225 Units 765 Gm Jar,TRUE,NA,NA,NA,Product is Active but price not found,1
8791,HPCHPCCAV00000001,HPCHPCCAV00000001,Chik Thick And Shiny Shampoo Sachet 6Ml,TRUE,NA,NA,NA,Product is Active but price not found,1
9043,PROPROFNT00000003,PROPROFNT00000003,Fun Top Krazy Snacks Sauce 9 Gm,TRUE,NA,NA,NA,Product is Active but price not found,1
9505,HPCHPCSUN00000006,HPCHPCSUN00000006,Sunsilk Shampoo 6Ml,TRUE,NA,NA,NA,Product is Active but price not found,1
15628,BNCBNCLOC00000122,BNCBNCLOC00000122,Swad Toffee,TRUE,NA,NA,NA,Product is Active but price not found,1
15633,HPCHPCVIC00000020,HPCHPCVIC00000020,Vicks Cough Drops Ginger,TRUE,NA,NA,NA,Product is Active but price not found,1
15634,HPCHPCVIC00000021,HPCHPCVIC00000021,Vicks Cough Drops Honey,TRUE,NA,NA,NA,Product is Active but price not found,1
15635,HPCHPCVIC00000022,HPCHPCVIC00000022,Vicks Cough Drops Menthol,TRUE,NA,NA,NA,Product is Active but price not found,1
13023,HPCHPCSUN00000016,HPCHPCSUN00000016,Sunsilk Black Shine Shampoo 5 Ml ,TRUE,NA,NA,NA,Product is Active but price not found,1
13024,HPCHPCSUN00000017,HPCHPCSUN00000017,Sunsilk Thik & Long Shampoo 5Ml ,TRUE,NA,NA,NA,Product is Active but price not found,1
13025,HPCHPCPAN00000017,HPCHPCPAN00000017,Pantene Hair Fall Proteection Shampoo 5 Ml ,TRUE,NA,NA,NA,Product is Active but price not found,1
13258,PROPROLOC00000153,PROPROLOC00000153,Racy Chilli Sauce Sachet 9Gm,TRUE,NA,NA,NA,Product is Active but price not found,1
13259,PROPROLOC00000154,PROPROLOC00000154,Racy Tomato Ketchup Sachet 9Gm,TRUE,NA,NA,NA,Product is Active but price not found,1
13260,PROPROLOC00000155,PROPROLOC00000155,Sweety Supari Kesar Scented ,TRUE,NA,NA,NA,Product is Active but price not found,1
14501,HPCHPCDBR00000025,HPCHPCDBR00000025,Vatika health shampoo 60 % extra,TRUE,NA,NA,NA,Product is Active but price not found,1
14814,HPCHPCBAL00000003,HPCHPCBAL00000003,Bajaj almond drops 2.5 ml,TRUE,NA,NA,NA,Product is Active but price not found,1
14989,BNCBNCALP00000005,BNCBNCALP00000005,Alpenliebe creamfills,TRUE,NA,NA,NA,Product is Active but price not found,1
14990,BNCBNCALP00000006,BNCBNCALP00000006,Alpenliebe gold,TRUE,NA,NA,NA,Product is Active but price not found,1
14991,BNCBNCALP00000007,BNCBNCALP00000007,Alpenliebe juzt jelly guava,TRUE,NA,NA,NA,Product is Active but price not found,1
15589,BNCBNCPAR00000006,BNCBNCPAR00000006,Parle Kismi Bite,TRUE,NA,NA,NA,Product is Active but price not found,1
15393,PROPROLOC00000267,PROPROLOC00000267,Chat Snacks Sauce,TRUE,NA,NA,NA,Product is Active but price not found,1
15481,BNCBNCLOC00000103,BNCBNCLOC00000103,Candyman Clear Candy,TRUE,NA,NA,NA,Product is Active but price not found,1
15482,BNCBNCLOC00000104,BNCBNCLOC00000104,Candyman Clear Candy Aam,TRUE,NA,NA,NA,Product is Active but price not found,1
15483,BNCBNCLOC00000105,BNCBNCLOC00000105,Candyman Clear Candy Kacha Aam,TRUE,NA,NA,NA,Product is Active but price not found,1
15492,BNCBNCFRE00000004,BNCBNCFRE00000004,Center Fruit Watermelon Flavour,TRUE,NA,NA,NA,Product is Active but price not found,1
15493,BNCBNCFRE00000005,BNCBNCFRE00000005,Center Fresh Liquid Filled Gum 3.2 G,TRUE,NA,NA,NA,Product is Active but price not found,1
15503,PROPRODBR00000006,PROPRODBR00000006,Dabur Honitus Cough Drop Honey & Ginger,TRUE,NA,NA,NA,Product is Active but price not found,1
15522,BNCBNCLOC00000106,BNCBNCLOC00000106,Fru Kik Jhakas Jeera Masala Candy,TRUE,NA,NA,NA,Product is Active but price not found,1
15523,BNCBNCLOC00000107,BNCBNCLOC00000107,Fru Kik Kaccha Aam Masala Candy,TRUE,NA,NA,NA,Product is Active but price not found,1
15524,BNCBNCLOC00000108,BNCBNCLOC00000108,Fru Kik Naughty Imli Masala Candy,TRUE,NA,NA,NA,Product is Active but price not found,1
15531,BNCBNCHAJ00000006,BNCBNCHAJ00000006,Hajmola Albela Aam,TRUE,NA,NA,NA,Product is Active but price not found,1
15532,BNCBNCHAJ00000007,BNCBNCHAJ00000007,Hajmola Chat Cola ,TRUE,NA,NA,NA,Product is Active but price not found,1
15533,BNCBNCHAJ00000008,BNCBNCHAJ00000008,Hajmola Chulbuli Imli,TRUE,NA,NA,NA,Product is Active but price not found,1
15534,BNCBNCHAJ00000009,BNCBNCHAJ00000009,Hajmola Regular 4N,TRUE,NA,NA,NA,Product is Active but price not found,1
15535,SNGSNGLOC00000514,SNGSNGLOC00000514,Halls Zatang Green Mango Salt 2.6 G,TRUE,NA,NA,NA,Product is Active but price not found,1
15536,SNGSNGLOC00000515,SNGSNGLOC00000515,Halls Zatang Lemon & Salt 2.6 G,TRUE,NA,NA,NA,Product is Active but price not found,1
15537,BNCBNCDEN00000001,BNCBNCDEN00000001,Happy Dent Wave Strawberry Flavour,TRUE,NA,NA,NA,Product is Active but price not found,1
