Parent Name ,Parent ID <To be filled once the parent SKUs have been created>,SKU (Child) Name,SKU (Child) ID
"Coke, 2Ltr ",,"Coke, 2 Ltr",CBDBNCCOC00000003
"Coke, 2Ltr ",,"Coke, 2Ltr ",BEVBEVCOC00000006
"Coke, 600 ml",,"Coke, 600 ml",BEVBEVCOC00000007
"Coke, 1.25 Ltr",,"Coke, 1.25 Ltr",CBDBNCCOC00000002
"Coke, 1.25 Ltr",,"Coke, 1.25 Ltr",BEVBEVCOC00000009
"Fanta, 2Ltr",,"Fanta, 2 Ltr",CBDBNCFAN00000002
"Fanta, 2Ltr",,"Fanta, 2Ltr",BEVBEVFAN00000006
"Fanta, 2Ltr",,"Fanta, 2.25 Ltr  ",BEVBEVFAN00000008
"Fanta, 600 ml ",,"Fanta, 600 ml ",BEVBEVFAN00000007
"Fanta, 1.25 Ltr  ",,"Fanta, 1.25 Ltr",CBDBNCFAN00000001
"Fanta, 1.25 Ltr  ",,"Fanta, 1.25 Ltr   (Single qty)",BEVBEVFAN00000011
"Fanta, 1.25 Ltr  ",,"Fanta, 1.25 Ltr  ",BEVBEVFAN00000009
"Limca, 600 ml ",,"Limca, 600 ml ",BEVBEVLIM00000007
"Limca, 600 ml ",,"Limca, 600 ml ",BEVBEVLIM00000008
"Limca, 2Ltr",,"Limca, 2 Ltr",CBDBNCLIM00000002
"Limca, 2Ltr",,"Limca, 2 Ltr (Single qty) MRP 90",CBDBNCLIM00000003
"Limca, 2Ltr",,"Limca, 2Ltr (Single qty)",BEVBEVLIM00000012
"Limca, 2Ltr",,"Limca, 2Ltr",BEVBEVLIM00000006
"Limca, 1.25 Ltr ",,"Limca, 1.25 Ltr",CBDBNCLIM00000001
"Limca, 1.25 Ltr ",,"Limca, 1.25 Ltr ",BEVBEVLIM00000010
"Maaza, 600 ml ",,Maaza Mango Drink Pet Bottle 600 ml,JMTBNCMAZ00000003
"Maaza, 600 ml ",,"Maaza, 600 ml",JMTBNCMAZ00000001
"Maaza, 600 ml ",,"Maaza, 600 ml ",BEVBEVMAZ00000001
"Sprite, 2Ltr ",,"Sprite, 2 Ltr",CBDBNCSPR00000002
"Sprite, 2Ltr ",,"Sprite, 2Ltr  (Single qty)",BEVBEVSPR00000012
"Sprite, 2Ltr ",,"Sprite, 2Ltr ",BEVBEVSPR00000006
"Sprite, 600 ml",,"Sprite, 600 ml ",BEVBEVSPR00000007
"Sprite, 600 ml",,"Sprite, 600 ml",BEVBEVSPR00000008
"Sprite, 1.25 Ltr ",,"Sprite, 1.25 Ltr",CBDBNCSPR00000001
"Sprite, 1.25 Ltr ",,"Sprite, 1.25 ltr (Single qty) MRP 65",CBDBNCSPR00000003
"Sprite, 1.25 Ltr ",,"Sprite, 1.25 Ltr ",BEVBEVSPR00000010
"Thums Up, 2Ltr ",,"Thums Up, 2 Ltr",CBDBNCTHU00000001
"Thums Up, 2Ltr ",,"Thums Up, 2 Ltr (Single qty) MRP 90",CBDBNCTHU00000004
"Thums Up, 2Ltr ",,"Thums Up, 2Ltr ",BEVBEVTHU00000006
"Thums Up, 600 ml ",,"Thums Up, 600 ml ",BEVBEVTHU00000007
"Thums Up, 600 ml ",,"Thums Up, 600 ml ",BEVBEVTHU00000008
"Thums Up, 1.25 Ltr ",,"Thums Up, 1.25 Ltr",CBDBNCCOC00000001
"Thums Up, 1.25 Ltr ",,"Thums Up, 1.25 Ltr (Single qty) MRP 65",CBDBNCTHU00000003
"Thums Up, 1.25 Ltr ",,"Thums Up, 1.25 Ltr ",BEVBEVTHU00000010
"Amul Kool Kesar, 200 ml",,"Amul Kool Kesar, 200 ml",BEVBEVKOL00000001
"Amul Kool Elaichi, 200 ml",,"Amul Kool Elaichi, 200 ml",BEVBEVKOL00000002
"Amul Kool Rose, 200 ml",,"Amul Kool Rose, 200 ml (Mrp 20)",BNCBNCAMU00000001
"Amul Kool Rose, 200 ml",,"Amul Kool Rose, 180 ml (Mrp 20)",BVRBNCKOL00000002
"Amul Kool Rose, 200 ml",,"Amul Kool Rose, 200 ml",BEVBEVKOL00000003
"Amul Kool Badam, 200 ml",,"Amul Kool Badam, 200 ml",BEVBEVKOL00000004
"Amul Kool Koko Pet, 200mL",,"Amul Kool Koko Pet, 200mL",BEVBEVAMU00000001
"Amul Kool Cafe Pet, 200mL",,"Amul Kool Cafe Pet, 200mL",BEVBEVAMU00000002
"Amulspray Infant Powder Tin, 1 Kg",,"Amulspray Infant Powder Tin, 1 Kg",IFDPROAMU00000003
"Amulspray Infant Powder Tin, 1 Kg",,"Amulspray Infant Powder Tin, 1 Kg",BFDGCYAMU00000001
"Amulspray Infant Powder Tin, 1 Kg",,"Amulspray Infant Powder Tin, 1 Kg",IFDPROAMU00000002
"Amulspray Infant Powder Tin, 1 Kg",,"Amulspray Infant Powder Tin, 1 Kg",BBFINFASP00000002
"Amul Fresh Cream Tetra, 1Ltr",,"Amul Fresh Cream Tetra, 1Ltr",BREBREAMU00000002
"Amul Fresh Cream Tetra, 250 mL",,"Amul Fresh Cream Tetra, 250 mL",GRSGRSAMU00000010
"Amul Fresh Cream Tetra, 250 mL",,"Amul Fresh Cream Tetra, 250 mL",BREBREAMU00000001
Saffola Masala Oats Chinese - 39 gm (MRP-18),,Saffola Masala Oats Chinese - 39 gm (MRP-18),BREBRESOA00000009
Saffola Masala Oats Classic Masala - 39 gm (MRP-15),,Saffola Masala Oats Classic Masala - 39 gm (MRP-15),BREBRESOA00000008
Saffola Masala Oats Italian - 39 gm (MRP-18),,Saffola Masala Oats Italian - 39 gm (MRP-18),BREBRESOA00000007
Saffola Masala Oats Veggie Twist - 39 gm (MRP-15),,Saffola Masala Oats Veggie Twist - 39 gm (MRP-15),BREBRESOA00000006
Saffola Masala Oats Pongal - 39 gm (MRP-15),,Saffola Masala Oats Pongal - 39 gm (MRP-15),BREBRESOA00000005
Saffola Oats - 400 gm  (MRP-77),,Saffola Oats - 400 gm  (MRP-77),BREBRESOA00000001
Saffola Tandoori Magic Masala Oats - 39 gm  (MRP-15),,Saffola Tandoori Magic Masala Oats - 39 gm  (MRP-18),BREBRESOA00000003
Saffola Tandoori Magic Masala Oats - 39 gm  (MRP-15),,Saffola Tandoori Magic Masala Oats - 39 gm  (MRP-15),BREBRESOA00000004
Saffola Tangy Chaat Masala Oats - 39 gm (MRP-15),,Saffola Tangy Chaat Masala Oats - 39 gm (MRP-15),BREBRESOA00000002
"Parle Premium Rusk Real Elaichi, 200 gm",,"Parle Premium Rusk Real Elaichi, 200 gm",BSCBSCPAR00000019
"Nimbooz Masala Soda, 600ml",,"Nimbooz Masala Soda, 600ml",BEVBEVNIM00000001
"Nimbooz, 350 ml ",,"Nimbooz, 350 ml ",BEVBEVNIM00000002
"Mirinda, 2Ltr",,"Mirinda, 2Ltr",BEVBEVMIR00000008
"Mirinda, 2Ltr",,"Mirinda, 2Ltr",BEVBEVMIR00000004
"Mirinda, 1.25 Ltr",,"Mirinda, 1.25 Ltr",BEVBEVMIR00000005
"Mirinda, 600 Ml",,"Mirinda, 600 Ml",BEVBEVMIR00000003
"Mountain Dew, 600 ml",,"Mountain Dew, 600 ml",BEVBEVMDE00000005
"Mountain Dew, 2 Ltr",,"Mountain Dew, 2 Ltr",BEVBEVMDE00000004
"Mountain Dew, 2 Ltr",,"Mountain Dew, 2 Ltr (Single qty) MRP 85",CBDBNCMDE00000007
"Mountain Dew, 1.25 Ltr",,"Mountain Dew, 1.25 Ltr",BEVBEVMDE00000003
"Pepsi, 600 ml",,"Pepsi, 600 ml",BEVBEVPSI00000004
"Pepsi, 600 ml",,"Pepsi Blue CAN, 250 ml",CBDBNCPSI00000003
