Parent Name ,Brand,Category,HSN,GST,Cess,Surcharge,Brand Case Size,Inner Case Size
"Coke, 2Ltr ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Coke, 600 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Coke, 1.25 Ltr",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,12,12
"Fanta, 2Ltr",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Fanta, 600 ml ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Fanta, 1.25 Ltr  ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,12,12
"Limca, 600 ml ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Limca, 2Ltr",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,1
"Limca, 1.25 Ltr ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,12,12
"Maaza, 600 ml ",Cocacola,beverage_and_confectionary,22029020,12%,0%,0,24,24
"Sprite, 2Ltr ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Sprite, 600 ml",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Sprite, 1.25 Ltr ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,12,12
"Thums Up, 2Ltr ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Thums Up, 600 ml ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Thums Up, 1.25 Ltr ",Cocacola,beverage_and_confectionary,22021010,28%,12%,0,12,12
"Amul Kool Kesar, 200 ml",Amul,beverage_and_confectionary,22029030,5%,0%,0,30,30
"Amul Kool Elaichi, 200 ml",Amul,beverage_and_confectionary,22029030,12%,0%,0,30,30
"Amul Kool Rose, 200 ml",Amul,beverage_and_confectionary,22029030,12%,0%,0,30,30
"Amul Kool Badam, 200 ml",Amul,beverage_and_confectionary,22029030,12%,0%,0,30,6
"Amul Kool Koko Pet, 200mL",Amul,beverage_and_confectionary,4020000,12%,0%,0,24,12
"Amul Kool Cafe Pet, 200mL",Amul,beverage_and_confectionary,4020000,12%,0%,0,30,30
"Amulspray Infant Powder Tin, 1 Kg",Amul,breakfast_dairy,4021020,5%,0%,0,12,1
"Amul Fresh Cream Tetra, 1Ltr",Amul,breakfast_dairy,4010000,0%,0%,0,12,1
"Amul Fresh Cream Tetra, 250 mL",Amul,breakfast_dairy,4010000,0%,0%,0,32,8
Saffola Masala Oats Chinese - 39 gm (MRP-18),Marico,breakfast_dairy,21069099,18%,0%,0,240,12
Saffola Masala Oats Classic Masala - 39 gm (MRP-15),Marico,breakfast_dairy,21069099,18%,0%,0,240,12
Saffola Masala Oats Italian - 39 gm (MRP-18),Marico,breakfast_dairy,21069099,18%,0%,0,240,12
Saffola Masala Oats Veggie Twist - 39 gm (MRP-15),Marico,breakfast_dairy,21069099,18%,0%,0,240,12
Saffola Masala Oats Pongal - 39 gm (MRP-15),Marico,breakfast_dairy,123456,18%,0%,0,240,12
Saffola Oats - 400 gm  (MRP-77),Marico,breakfast_dairy,21069099,5%,0%,0,30,1
Saffola Tandoori Magic Masala Oats - 39 gm  (MRP-15),Marico,breakfast_dairy,21069099,18%,0%,0,240,12
Saffola Tangy Chaat Masala Oats - 39 gm (MRP-15),Marico,breakfast_dairy,21069099,18%,0%,0,240,12
"Parle Premium Rusk Real Elaichi, 200 gm",Parle,processed_food,19053100,5%,0%,0,32,4
"Nimbooz Masala Soda, 600ml",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,24,1
"Nimbooz, 350 ml ",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,1,24
"Mirinda, 2Ltr",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Mirinda, 1.25 Ltr",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,12,12
"Mirinda, 600 Ml",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,24,24
"Mountain Dew, 600 ml",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,24,1
"Mountain Dew, 2 Ltr",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,9,6
"Mountain Dew, 1.25 Ltr",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,12,12
"Pepsi, 600 ml",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,6,24
"Pepsi, 2 Ltr",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,9,9
"Pepsi, 1.25 Ltr",Pepsico,beverage_and_confectionary,22021010,28%,12%,0,12,12
"Slice Juice, 600 ml",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,24,24
"Tropicana - Apple Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,1
"Tropicana - Apple Delight Fruit Juice, 200 ml",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,30,30
"Tropicana - Cranberry Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,3
"Tropicana - Guava Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Tropicana - Guava Delight Fruit Juice, 200 ml ",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,30,30
"Tropicana - Litchi Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Tropicana - Litchi Delight Fruit Juice, 200ml",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,30,30
"Tropicana - Mango Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Tropicana - Mango Delight Fruit Juice, 200ml",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,30,30
"Tropicana - Mixed Fruit Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Tropicana - Mixed Fruit Delight Fruit Juice, 200ml",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,30,1
"Tropicana - Orange Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Tropicana - Orange Delight Fruit Juice, 200ml",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,30,1
"Tropicana - Pineapple Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Tropicana - Pineapple Delight Fruit Juice, 200ml ",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,30,30
"Tropicana - Pomegranate Delight Fruit Juice, 1 Ltr",Pepsico,beverage_and_confectionary,22029020,12%,0%,0,12,12
"Doritos Nacho Cheese, 39gm",Pepsico,processed_food,210690,12%,0%,0,48,8
"Doritos Sweet Chilli, 39gm",Pepsico,processed_food,210690,12%,0%,0,48,8
Kurkure  Namkeen - Puffcorn (Yummy Cheese) - 60 g Pack,Pepsico,processed_food,210690,12%,0%,0,56,8
Kurkure  Namkeen - Masala Munch - 100g Pack,Pepsico,processed_food,210690,12%,0%,0,64,8
Kurkure  Namkeen - Masala Munch - 55 g Pack,Pepsico,processed_food,210690,12%,0%,0,128,10
Kurkure  Namkeen - Puffcorn (Yummy Cheese) - 30 g Pack,Pepsico,processed_food,210690,12%,0%,0,81,10
Kurkure  Namkeen - Masala Munch - 25g Pack,Pepsico,processed_food,2106,12%,0%,0,225,15
Lays Potato Chips - American Style Cream & Onion Flavour - 15g Pack,Pepsico,processed_food,2106,12%,0%,0,180,15
Lays Potato Chips - Classic Salted - 15g Pack,Pepsico,processed_food,2106,12%,0%,0,180,15
Lays  Potato Chips - Flirty Tomato Tango - 15gm Pack,Pepsico,processed_food,2106,12%,0%,0,180,15
Lays Potato Chips - Hot n Sweet Chilli -15g Pack,Pepsico,processed_food,2106,12%,0%,0,180,15
"Lays CRISPZ Herb & Onion, 16g",Pepsico,processed_food,2106,12%,0%,0,160,10
"Lays CRISPZ Herb & Onion, 57g",Pepsico,processed_food,2106,12%,0%,0,48,4
"Lays  Potato Chips - Classic Salted, 30gm",Pepsico,processed_food,210690,12%,0%,0,120,10
"Lays  Potato Chips - Flirty Tomato Tango, 30gm",Pepsico,processed_food,210690,12%,0%,0,120,10
