Product ID,Product SKU,Product Name,Parent ID,Parent Name,Product Status,MRP
19512,HPCHPCPAM00000028,Pampers Pants Baby Diaper Medium 28P,PHPCPNG0494,Pampers Pants Baby Diaper Medium 20P,active,499
19506,PROPROBIK00000049,Bikano Panjeeri Laddu Spl 400g,PPROBIK0364,Bikano Panjeeri Laddu Special 400 gm,active,220
19504,OGCSNGMAD00000037,"Madhusudan Desi Ghee Jar, 1 Ltr",POGCMAD0054,"Madhusudan Desi Ghee Jar, 1 Ltr",active,479
19503,BREBREMAR00000003,Saffola Masala Oats Veggie Twist 500 gm,PBREMRC0002,Saffola Masala Oats Veggie Twist 500 gm,active,190
19502,BREBREMAR00000002,Saffola Masala Oats Peppy Tomato 500 gm,PBREMRC0004,Saffola Masala Oats Peppy Tomato 500 gm,active,190
19501,BREBREMAR00000001,Saffola Classic Masala Oats 500 gm,PBREMRC0006,Saffola Classic Masala Oats 500 gm,active,190
19500,BRDBRDAMU00000012,"Amulya Dairy whitener, 200 gm",PBRDAMU0100,"Amulya Dairy whitener, 200 gm",active,85
19499,BEVBEVLIP00000003,Lipton Green Tea  Lemon Zest 35 Gm,PTNCHUL0042,Lipton Green Tea  Lemon  Zest 35 Gm,active,160
19498,BREBREKEL00000001,KELLOGGS CHOCOS WEBS BX 300g,PBREKEL0002,Kelloggs Chocos Web 300 gm,active,170
19497,BEVBEVHUL00000001,Brooke Bond Taaza Masala Chaska 250 gm,PBEVHUL0012,Brooke Bond Taaza Masala Chaska 250 gm,active,75
19485,RGRSNGGMF00000019,Eco Long Grain Rice 2kg,PRGRGMF0002,Eco Long Grain Rice 2kg,active,120
19484,RGRSNGGMF00000018,Eco Long Grain Rice 1kg,PRGRGMF0004,Eco Long Grain Rice 1kg,active,60
19483,RGRSNGGMF00000017,Eco Parmal Rice 2kg,PRGRGMF0006,Eco Parmal Rice 2kg,active,90
19482,RGRSNGGMF00000016,Eco Super Golden Sella 2kg,PRGRGMF0008,Eco Super Golden Sella 2kg,active,180
19481,RGRSNGGMF00000015,Eco Super Mongra 2kg,PRGRGMF0010,Eco Super Mongra 2kg,active,110
19480,RGRSNGGMF00000014,Eco Dubar Rice 2kg,PRGRGMF0012,Eco Dubar Rice 2kg,active,130
19479,RGRSNGGMF00000013,Eco Tibar Rice 2kg,PRGRGMF0014,Eco Tibar Rice 2kg,active,140
19478,RGRSNGGMF00000012,Eco Everyday Basmati Rice 2kg,PRGRGMF0016,Eco Everyday Basmati Rice 2kg,active,170
19477,RGRSNGGMF00000011,Eco Super Basmati Rice 2kg,PRGRGMF0018,Eco Super Basmati Rice 2kg,active,190
19476,RGRSNGGMF00000010,Eco Super Biryani Rice 2kg,PRGRGMF0020,Eco Super Biryani Rice 2kg,active,198
19475,RGRSNGGMF00000009,Eco Parmal Rice 1kg,PRGRGMF0022,Eco Parmal Rice 1kg,active,45
19474,RGRSNGGMF00000008,Eco Super Golden Sella 1kg,PRGRGMF0024,Eco Super Golden Sella 1kg,active,90
19473,RGRSNGGMF00000007,Eco Super Mongra 1kg,PRGRGMF0026,Eco Super Mongra 1kg,active,55
19472,RGRSNGGMF00000006,Eco Dubar Rice 1kg,PRGRGMF0028,Eco Dubar Rice 1kg,active,65
19471,RGRSNGGMF00000005,Eco Tibar Rice 1kg,PRGRGMF0030,Eco Tibar Rice 1kg,active,70
19470,RGRSNGGMF00000004,Eco Everyday Basmati Rice 1kg,PRGRGMF0032,Eco Everyday Basmati Rice 1kg,active,85
19469,RGRSNGGMF00000003,Eco Super Basmati Rice 1kg,PRGRGMF0034,Eco Super Basmati Rice 1kg,active,95
19468,RGRSNGGMF00000002,Eco Super Biryani Rice 1kg,PRGRGMF0036,Eco Super Biryani Rice 1kg,active,99
19467,PKPPROFOR00000006,Fortune Super Gold Millet Bengali Khichdi 200gm,PPKPAWI0002,Near Exp Fortune Super Food Bengali Bhog Khichuri 200 gm,active,1
19466,PKPPROFOR00000005,Fortune Super Gold Millet Gujarati Khichdi 200gm,PSNGAWI0110,Near Exp Fortune Super Food Gujarati Khichdi 200 gm,active,1
19465,PKPPROFOR00000004,Fortune Super Gold Millet Punjabi Khichdi 200gm,PPKPAWI0006,Fortune Super Food Punjabi Khichdi 200 gm,active,1
19423,DAIDAIKWL00000010,KW FEAST FRUIT N NUT 70 ml PP,PDAIKWL0010,KW FEAST FRUIT N NUT 70 ml PP,active,40
19422,DAIDAIKWL00000009,KW FEAST CHOLOCATE 70 ml PP,PDAIKWL0012,KW FEAST CHOLOCATE 70 ml PP,active,30
19415,DAIDAIKWL00000008,Kwality Walls Magnum Hazelnut 80ml,PDAIKWL0014,Kwality Walls Magnum Hazelnut 80ml,active,90
19414,DAIDAIKWL00000007,Kwality Walls Magnum Almond 80ml,PDAIKWL0016,Kwality Walls Magnum Almond 80ml,active,90
19402,SCSSNGMDH00000056,"MDH Chana Masala, 100G",PSCSMDH0027,"MDH Chana Masala, 100G",active,65
19392,HPCHPCCNC00000013,Clean & Clear Foaming Face Wash 100 ml,PHPCCNC0068,"Clean & Clear Face Wash, 100 ml",active,120
19390,OGCSNGMAD00000035,"Madhusudan Desi Ghee Tetra, 1 Ltr",POGCMAD0056,"Madhusudan Desi Ghee Tetra, 1Ltr",active,520
19378,DAIDAIMCN00000037,Mccain Super Wedges 400gm,PDAIMCN0060,Mccain Super Wedges 400 gm,active,100
19377,DAIDAIMCN00000036,Mccain Masala French Fries 375gm,PDAIMCN0026,Mccain Masala French Fries  375G,active,95.83
19376,DAIDAIMCN00000035,Mccain Masala Mix Herb n Garlic 400gm,PDAIMCN0030,Mccain Masala Mix Herb N garlic 400 gm,active,120
19375,DAIDAIMCN00000034,Mccain Veggie Nuggets 325gm,PDAIMCN0038,Mccain Veggie Nuggets 325 gm,active,100
19374,DAIDAIMCN00000033,Mccain Veggie Burger Patty 360gm,PDAIMCN0058,Mccain Veggie Burger Patty 360 gm,active,95.83
19373,DAIDAIMCN00000032,Mccain Aloo Tikki 400gm,PDAIMCN0028,Mccain Aloo Tikki  400G,active,79.16
19372,DAIDAIMCN00000031,Mccain Potato Cheese Shot 400gm,PDAIMCN0072,Mccain Potato Cheesz Shot 400 gm,active,166.66
19371,DAIDAIMCN00000030,Mccain Masala Mix Hot n Tangy 400gm,PDAIMCN0032,Mccain Masala Mix hot N Tangy 400 gm,active,120
19370,DAIDAIMCN00000029,Mccain Cheese Pizza Samos 240gm,PDAIMCN0062,Mccain Cheese Pizza Samos 240 gm,active,120
19369,DTPDGTTID00000022,Tide Laundary Powder Lemon & Mint (4 Kg + 1 Kg) + Bucket free,PDTPPNG0002,Tide Laundary Powder Lemon & Mint (4 Kg + 1 Kg),active,448.18
19367,DPNBGMPAM00000028,Pampers Pants Large 42N,PDPNPNG0002,Pampers Pants Large 42N,active,500.95
19366,DPNBGMPAM00000027,Pampers Baby Pants Xl 34s,PDPNPNG0004,Pampers Baby Pants Xl 34s,active,500.95
19365,AFSARFAMB00000002,Ambi Pur Airefect Lavender Bouquet 275G ,PHNKPNG0126,AMBI PUR AIREFECT LAVENDER BOUQET 275g,active,209.25
19364,AFSARFAMB00000001,Ambi Pur Air Freshner Exotic Jasmine 275Gm ,PAFSPNG0004,Ambi Pur Air Freshner Exotic Jasmine 275Gm,active,209.25
