product_sku,Product Type,Source Code,Raw Material Cost,Wastage,Fumigation,Label printing,Packing Labour,Primary PM Cost,Secondary PM Cost,,
GCYGCYLOC00000001,Source,,,,,,,,,,
PLBSNGLDA00000016,Source,,,,,,,,,,
PLBSNGLDA00000017,Source,,,,,,,,,,
PLBSNGLDA00000018,Source,,,,,,,,,,
PLBSNGLDA00000019,Source,,,,,,,,,,
PLBSNGLDA00000020,Source,,,,,,,,,,
PLBSNGLDA00000021,Source,,,,,,,,,,
PLBSNGLDA00000022,Source,,,,,,,,,,
PLBSNGLDA00000023,Source,,,,,,,,,,
PLBSNGLDA00000024,Source,,,,,,,,,,
PLBSNGLDA00000025,Source,,,,,,,,,,
PLBSNGLDA00000026,Source,,,,,,,,,,
PLBSNGLDA00000027,Source,,,,,,,,,,
PLBSNGLDA00000028,Source,,,,,,,,,,
PLBSNGLDA00000029,Source,,,,,,,,,,
PLBSNGLDA00000030,Source,,,,,,,,,,
PLBSNGLDA00000031,Source,,,,,,,,,,
PLBSNGLDA00000035,Source,,,,,,,,,,
RGRSNGDFR00000009,Source,,,,,,,,,,
RGRSNGDFR00000010,Source,,,,,,,,,,
RGRSNGDFR00000011,Source,,,,,,,,,,
RGRSNGDFR00000012,Source,,,,,,,,,,
RGRSNGDFR00000013,Source,,,,,,,,,,
RGRSNGDFR00000014,Source,,,,,,,,,,
RGRSNGDFR00000015,Source,,,,,,,,,,
RGRSNGDFR00000016,Source,,,,,,,,,,
SNGSNGBIR00000004,Source,,,,,,,,,,
SNGSNGGMF00000002,Source,,,,,,,,,,
SNGSNGLDA00000001,Source,,,,,,,,,,
SNGSNGLDA00000002,Source,,,,,,,,,,
SNGSNGLDA00000003,Source,,,,,,,,,,
SNGSNGLDA00000004,Source,,,,,,,,,,
SNGSNGLDA00000005,Source,,,,,,,,,,
SNGSNGLDA00000006,Source,,,,,,,,,,
SNGSNGLDA00000007,Source,,,,,,,,,,
SNGSNGLDA00000008,Source,,,,,,,,,,
SNGSNGLDA00000009,Source,,,,,,,,,,
SNGSNGLDA00000010,Source,,,,,,,,,,
SNGSNGLDA00000011,Source,,,,,,,,,,
SNGSNGLDA00000012,Source,,,,,,,,,,
SNGSNGLOC00000633,Source,,,,,,,,,,
SSJSNGBAJ00000001,Source,,,,,,,,,,
SNGSNGGMF00000050,Destination ,SNGSNGLDA00000007,36.5,0.18,0.08,0.20,0.65,0.35,1.10,,44.8
SNGSNGGMF00000049,Destination ,SNGSNGLDA00000007,73,0.37,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000048,Destination ,PLBSNGLDA00000020,32,0.16,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000047,Destination ,PLBSNGLDA00000020,64,0.32,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000046,Destination ,SNGSNGLDA00000012,39,0.20,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000045,Destination ,SNGSNGLDA00000012,78,0.39,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000042,Destination ,GCYGCYLOC00000001,36,0.18,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000041,Destination ,GCYGCYLOC00000001,72,0.36,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000036,Destination ,PLBSNGLDA00000035,38,0.19,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000035,Destination ,PLBSNGLDA00000035,76,0.38,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000034,Destination ,SNGSNGLDA00000010,47.5,0.24,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000033,Destination ,SNGSNGLDA00000010,95,0.48,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000032,Destination ,SNGSNGLDA00000011,41.5,0.21,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000031,Destination ,SNGSNGLDA00000011,83,0.42,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000030,Destination ,SNGSNGLDA00000009,58,0.29,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000029,Destination ,SNGSNGLDA00000009,116,0.58,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000028,Destination ,PLBSNGLDA00000030,29,0.15,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000027,Destination ,PLBSNGLDA00000030,58,0.29,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000026,Destination ,PLBSNGLDA00000029,30.25,0.15,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000025,Destination ,PLBSNGLDA00000029,60.5,0.30,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000024,Destination ,PLBSNGLDA00000028,29.75,0.15,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000023,Destination ,PLBSNGLDA00000028,59.5,0.30,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000022,Destination ,SNGSNGLDA00000006,53.5,0.27,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000021,Destination ,SNGSNGLDA00000006,107,0.54,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000020,Destination ,SNGSNGLDA00000005,53.5,0.27,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000019,Destination ,SNGSNGLDA00000005,107,0.54,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000018,Destination ,SNGSNGLDA00000004,51.5,0.26,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000017,Destination ,SNGSNGLDA00000004,103,0.52,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000016,Destination ,SNGSNGLDA00000003,49.5,0.25,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000015,Destination ,SNGSNGLDA00000003,99,0.50,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000014,Destination ,SNGSNGLDA00000002,49.5,0.25,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000013,Destination ,SNGSNGLDA00000002,99,0.50,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000012,Destination ,SNGSNGLDA00000001,49,0.25,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000011,Destination ,SNGSNGLDA00000001,98,0.49,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000010,Destination ,SNGSNGLDA00000008,30.25,0.15,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000009,Destination ,SNGSNGLDA00000008,60.5,0.30,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000008,Destination ,PLBSNGLDA00000017,45,0.23,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000007,Destination ,PLBSNGLDA00000018,29.25,0.15,0.08,0.20,0.65,0.35,1.10,,
SNGSNGGMF00000006,Destination ,PLBSNGLDA00000018,58.5,0.29,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000005,Destination ,PLBSNGLDA00000017,90,0.45,0.15,0.20,0.85,0.70,1.75,,
SNGSNGGMF00000004,Destination ,SNGSNGBIR00000004,17,0.03,0.08,0.20,0.65,0.70,1.95,,
SNGSNGGMF00000003,Destination ,SNGSNGGMF00000002,29.575,0.15,0.08,0.20,0.65,0.35,1.65,,
RGRSNGGMF00000017,Destination ,SNGSNGLOC00000633,54,0.27,0.30,0.20,0.85,1.40,2.00,,
RGRSNGGMF00000016,Destination ,RGRSNGDFR00000016,124,0.62,0.30,0.20,0.85,1.40,2.00,,
RGRSNGGMF00000015,Destination ,RGRSNGDFR00000015,62,0.31,0.30,0.20,0.85,1.40,2.00,,
RGRSNGGMF00000014,Destination ,RGRSNGDFR00000014,74,0.37,0.30,0.20,0.85,1.40,2.00,,
RGRSNGGMF00000013,Destination ,RGRSNGDFR00000013,86,0.43,0.30,0.20,0.85,1.40,2.00,,
RGRSNGGMF00000012,Destination ,RGRSNGDFR00000012,102,0.51,0.30,0.20,0.85,1.40,2.00,,
RGRSNGGMF00000011,Destination ,RGRSNGDFR00000010,114,0.57,0.30,0.20,0.85,1.40,2.00,,
RGRSNGGMF00000010,Destination ,RGRSNGDFR00000011,124,0.62,0.30,0.20,0.85,1.40,2.00,,
RGRSNGGMF00000009,Destination ,SNGSNGLOC00000633,27,0.14,0.15,0.20,0.85,0.70,1.25,,
RGRSNGGMF00000008,Destination ,RGRSNGDFR00000016,62,0.31,0.15,0.20,0.85,0.70,1.25,,
RGRSNGGMF00000007,Destination ,RGRSNGDFR00000015,31,0.16,0.15,0.20,0.85,0.70,1.25,,
RGRSNGGMF00000006,Destination ,RGRSNGDFR00000014,37,0.19,0.15,0.20,0.85,0.70,1.25,,
RGRSNGGMF00000005,Destination ,RGRSNGDFR00000013,43,0.22,0.15,0.20,0.85,0.70,1.25,,
RGRSNGGMF00000004,Destination ,RGRSNGDFR00000012,51,0.26,0.15,0.20,0.85,0.70,1.25,,
RGRSNGGMF00000003,Destination ,RGRSNGDFR00000011,62,0.31,0.15,0.20,0.85,0.70,1.25,,
RGRSNGGMF00000002,Destination ,RGRSNGDFR00000010,57,0.29,0.15,0.20,0.85,0.70,1.25,,
RGRSNGGMF00000001,Destination ,RGRSNGDFR00000009,66,0.33,0.15,0.20,0.85,0.70,1.25,,
PLBSNGECO00000001,Destination ,GCYGCYLOC00000001,36,0.18,0.08,0.20,0.65,0.35,0.85,,
SSJSNGLOC00000011,Destination ,SSJSNGBAJ00000001,35.3,0.18,0.00,0.20,0.85,0.70,1.25,,
SSJSNGLOC00000010,Destination ,SSJSNGBAJ00000001,70.6,0.35,0.00,0.20,0.85,1.40,2.00,,
PLBSNGLOC00000058,Destination ,PLBSNGLDA00000035,38,0.19,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000057,Destination ,PLBSNGLDA00000025,47,0.24,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000056,Destination ,PLBSNGLDA00000025,94,0.47,0.15,0.20,0.85,0.70,1.25,,
PLBSNGLOC00000055,Destination ,PLBSNGLDA00000026,51.5,0.26,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000054,Destination ,PLBSNGLDA00000027,47.5,0.24,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000053,Destination ,PLBSNGLDA00000031,43,0.22,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000052,Destination ,PLBSNGLDA00000031,86,0.43,0.15,0.20,0.85,0.70,1.25,,
PLBSNGLOC00000051,Destination ,PLBSNGLDA00000024,44.25,0.22,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000050,Destination ,PLBSNGLDA00000022,44.25,0.22,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000049,Destination ,PLBSNGLDA00000022,88.5,0.44,0.15,0.20,0.85,0.70,1.25,,
PLBSNGLOC00000048,Destination ,PLBSNGLDA00000023,44.5,0.22,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000047,Destination ,PLBSNGLDA00000030,29,0.15,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000046,Destination ,PLBSNGLDA00000028,29.75,0.15,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000045,Destination ,PLBSNGLDA00000028,59.5,0.30,0.15,0.20,0.85,0.70,1.25,,
PLBSNGLOC00000044,Destination ,PLBSNGLDA00000029,30.25,0.15,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000043,Destination ,PLBSNGLDA00000021,35,0.18,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000042,Destination ,PLBSNGLDA00000020,32,0.16,0.08,0.20,0.65,0.35,0.85,,
PLBSNGLOC00000041,Destination ,PLBSNGLDA00000020,64,0.32,0.15,0.20,0.85,0.70,1.25,,
