Parent Code,SKU ID,Description,Category Name,EAN Code,REQ HSN Code
PALFRBG0004,GRSGRSRBG00000001,"Rasoi Bhog Atta, 10 Kg",Staples & Grocery,8906022190021_320,110100
PALFRBG0002,GRSGRSRBG00000002,"Rasoi Bhog Atta, 5 Kg",Staples & Grocery,8906022190014_180,110100
PPLBPCO0002,PLBSNGRAJ00000047,"Quaker Oats, 200 g Pouch",Shashinder-PF,8901491103787,210690
PBRDAMU0110,BFDSNGAMU00000007,Amul Cheese 100 gm,Shashinder,8901262020046_69,210690
PDAIAMU0062,BFDSNGAMU00000008,AMUL CHEESE SLICE 200G,Shashinder,8901262020015_118,210690
PBRDAMU0108,BFDSNGAMU00000010,Amul Cheese Spread  Plain 200 gm,Shashinder,8901262060011_80,210690
PBRDAMU0106,BFDSNGAMU00000011,Amul Cheese Spread 180 gm,Shashinder,8901262060066_80,210690
PDAIAMU0068,DAIDAIAMU00000012,Amul Mozzarella Pizza Cheese 200 Gm,Shashinder,8901262020206_100,210690
PDAIAMU0044,DAIDAIAMU00000024,AMUL CHEESE SPREAD GARLIC 200G,Shashinder,0,210690
PBFDAMU0008,BRDBRDAMU00000005,Amul Cheese Cubes 200 Gm Pack,Shashinder,8901262020039_114,210690
PFPGHUL0004,FPGBDCPND00000008,Ponds Starlite Perfumed Talc 30 GM,Health & Personal Care,8901030743627,252620
PPKPDBR0012,PKPPROCHW00000007,Dabur Chyawanprash Sugar Free Clinically Tested 900 gm,Shashinder-PF,8901207005671,300490
PPRODBR0086,PROPRODBR00000004,Dabur Chyawanprakash Sugar Free 500 Gm,Shashinder-PF,8901207001635_205,300490
PDTBVLC0002,HNKHNKVLC00000001,"Value Clean Liquid dishwash Lemon, 500 ml",Home & kitchen,8906037460010,340220
PHOKVLC0002,HNKHNKVLC00000002,"Value Clean dishwash Tub Lemon, 500 ml",Home & kitchen,8906037460034,340220
PARFVLC0002,HNKHNKVLC00000004,"Value Clean Air Freshners lavender,  50 ml",Home & kitchen,0,340220
PAFSVLC0002,AFSARFVLC00000001,"Value Clean Air Freshners Jasmine , 50 ml",Home & kitchen,0,340220
PHOKGHD0002,DTPDGTGPO00000001,Ghadi Machine Wash Detergent Powder 100 gm,Home & kitchen,8901331012828,340220
PHNKVLC0016,HNKHNKVLC00000005,"Value Clean glass Cleaner, 500 ml",Home & kitchen,8906037460119,340590
PLFCVLC0002,HNKHNKVLC00000006,"Value Clean Surface Cleaner Lime, 500 ml",Home & kitchen,8906037460126,340590
PHNKVLC0018,HNKHNKVLC00000003,"Value Clean toilet Cleaner, 500 ml",Home & kitchen,8906037460003,380899
PJMTAMU0002,JMTBNCAMU00000003,Amul Taaza Fresh Toned Milk 1 Ltr,Shashinder,8901262150064,4010000
PBRDAMU0100,BFDSNGAMU00000018,"Amulya Dairy whitener, 200 gm",Shashinder,8901262090353_80,4010000
PBFDAMU0028,BREBREAMU00000001,"Amul Fresh Cream Tetra, 250 mL",Shashinder,0,4039090
PBFDAMU0030,GRSGRSAMU00000009,"Amul Fresh Cream Tetra, 1 Ltr",Shashinder,0,4039090
PDAIAMU0038,DAIDAIAMU00000027,Amul Lassi 250 ml,Shashinder,8901262151696_20,4039090
POGCAMU0044,GRSGRSAMU00000003,"Amul Ghee Tin, 1 Ltr",Shashinder,0,4059020
POGCAMU0042,GRSGRSAMU00000002,"Amul Ghee Tetra, 1 Ltr",Shashinder,0,4059020
POGCAMU0040,GRSGRSAMU00000001,"Amul Ghee Tetra, 500mL",Shashinder,0,4059020
